BAG:hanhhoang add 5xĐậu thần cấp 1 lydo: Thu hoạch đậu at 03/02/2023 5:47 PM
BAG:hanhhoang add 20xThỏi vàng lydo: Đổi vàng at 03/02/2023 6:01 PM
BAG:hanhhoang add 1000020xThỏi vàng (old: 20) lydo: Giftcode at 03/02/2023 6:02 PM
BAG:hanhhoang add 10000xĐá ngũ sắc lydo: Giftcode at 03/02/2023 6:02 PM
BAG:hanhhoang add 500xNgọc Rồng 3 sao lydo: Giftcode at 03/02/2023 6:03 PM
BAG:hanhhoang add 500xNgọc Rồng 7 sao lydo: Giftcode at 03/02/2023 6:03 PM
BAG:hanhhoang add 10xĐậu thần cấp 1 (old: 5) lydo: Thu hoạch đậu at 03/02/2023 6:03 PM
BAG:hanhhoang add 1xQuần vải đen lydo: Nhặt từ map at 03/02/2023 6:07 PM
BAG:hanhhoang add 1xCải trang Xekô lydo: Mua từ cửa hàng at 03/02/2023 6:11 PM
BAG:hanhhoang add 1xCải trang Xekô lydo: Mua từ cửa hàng at 03/02/2023 6:11 PM
BAG:hanhhoang add 1xCải trang Nobita lydo: Mua từ cửa hàng at 03/02/2023 6:12 PM
BAG:hanhhoang add 1xCải trang Nobita lydo: Mua từ cửa hàng at 03/02/2023 6:13 PM
BAG:hanhhoang add 1xCải trang Luffy lydo: Mua từ cửa hàng at 03/02/2023 6:13 PM
BAG:hanhhoang add 1xCải trang Franky lydo: Mua từ cửa hàng at 03/02/2023 6:14 PM
BAG:hanhhoang add 1xCải trang Zoro lydo: Mua từ cửa hàng at 03/02/2023 6:14 PM
BAG:hanhhoang add 35xNgọc Rồng 2 sao (old: 34) lydo: Nhập ngọc at 03/02/2023 7:44 PM
BAG:hanhhoang add 36xNgọc Rồng 2 sao (old: 35) lydo: Nhập ngọc at 03/02/2023 7:44 PM
BAG:hanhhoang add 37xNgọc Rồng 2 sao (old: 36) lydo: Nhập ngọc at 03/02/2023 7:44 PM
BAG:hanhhoang add 38xNgọc Rồng 2 sao (old: 37) lydo: Nhập ngọc at 03/02/2023 7:44 PM
BAG:hanhhoang add 39xNgọc Rồng 2 sao (old: 38) lydo: Nhập ngọc at 03/02/2023 7:44 PM
BAG:hanhhoang add 40xNgọc Rồng 2 sao (old: 39) lydo: Nhập ngọc at 03/02/2023 7:44 PM
BAG:hanhhoang add 41xNgọc Rồng 2 sao (old: 40) lydo: Nhập ngọc at 03/02/2023 7:44 PM
BAG:hanhhoang add 42xNgọc Rồng 2 sao (old: 41) lydo: Nhập ngọc at 03/02/2023 7:44 PM
BAG:hanhhoang add 43xNgọc Rồng 2 sao (old: 42) lydo: Nhập ngọc at 03/02/2023 7:44 PM
BAG:hanhhoang add 44xNgọc Rồng 2 sao (old: 43) lydo: Nhập ngọc at 03/02/2023 7:44 PM
BAG:hanhhoang add 45xNgọc Rồng 2 sao (old: 44) lydo: Nhập ngọc at 03/02/2023 7:44 PM
BAG:hanhhoang add 46xNgọc Rồng 2 sao (old: 45) lydo: Nhập ngọc at 03/02/2023 7:44 PM
BAG:hanhhoang add 47xNgọc Rồng 2 sao (old: 46) lydo: Nhập ngọc at 03/02/2023 7:44 PM
BAG:hanhhoang add 48xNgọc Rồng 2 sao (old: 47) lydo: Nhập ngọc at 03/02/2023 7:44 PM
BAG:hanhhoang add 49xNgọc Rồng 2 sao (old: 48) lydo: Nhập ngọc at 03/02/2023 7:44 PM
BAG:hanhhoang add 50xNgọc Rồng 2 sao (old: 49) lydo: Nhập ngọc at 03/02/2023 7:44 PM
BAG:hanhhoang add 51xNgọc Rồng 2 sao (old: 50) lydo: Nhập ngọc at 03/02/2023 7:44 PM
BAG:hanhhoang add 52xNgọc Rồng 2 sao (old: 51) lydo: Nhập ngọc at 03/02/2023 7:44 PM
BAG:hanhhoang add 53xNgọc Rồng 2 sao (old: 52) lydo: Nhập ngọc at 03/02/2023 7:44 PM
BAG:hanhhoang add 54xNgọc Rồng 2 sao (old: 53) lydo: Nhập ngọc at 03/02/2023 7:44 PM
BAG:hanhhoang add 55xNgọc Rồng 2 sao (old: 54) lydo: Nhập ngọc at 03/02/2023 7:44 PM
BAG:hanhhoang add 56xNgọc Rồng 2 sao (old: 55) lydo: Nhập ngọc at 03/02/2023 7:44 PM
BAG:hanhhoang add 57xNgọc Rồng 2 sao (old: 56) lydo: Nhập ngọc at 03/02/2023 7:44 PM
BAG:hanhhoang add 58xNgọc Rồng 2 sao (old: 57) lydo: Nhập ngọc at 03/02/2023 7:44 PM
BAG:hanhhoang add 59xNgọc Rồng 2 sao (old: 58) lydo: Nhập ngọc at 03/02/2023 7:45 PM
BAG:hanhhoang add 60xNgọc Rồng 2 sao (old: 59) lydo: Nhập ngọc at 03/02/2023 7:45 PM
BAG:hanhhoang add 61xNgọc Rồng 2 sao (old: 60) lydo: Nhập ngọc at 03/02/2023 7:45 PM
BAG:hanhhoang add 62xNgọc Rồng 2 sao (old: 61) lydo: Nhập ngọc at 03/02/2023 7:45 PM
BAG:hanhhoang add 63xNgọc Rồng 2 sao (old: 62) lydo: Nhập ngọc at 03/02/2023 7:45 PM
BAG:hanhhoang add 64xNgọc Rồng 2 sao (old: 63) lydo: Nhập ngọc at 03/02/2023 7:45 PM
BAG:hanhhoang add 65xNgọc Rồng 2 sao (old: 64) lydo: Nhập ngọc at 03/02/2023 7:45 PM
BAG:hanhhoang add 66xNgọc Rồng 2 sao (old: 65) lydo: Nhập ngọc at 03/02/2023 7:45 PM
BAG:hanhhoang add 67xNgọc Rồng 2 sao (old: 66) lydo: Nhập ngọc at 03/02/2023 7:45 PM
BAG:hanhhoang add 68xNgọc Rồng 2 sao (old: 67) lydo: Nhập ngọc at 03/02/2023 7:45 PM
BAG:hanhhoang add 69xNgọc Rồng 2 sao (old: 68) lydo: Nhập ngọc at 03/02/2023 7:45 PM
BAG:hanhhoang add 70xNgọc Rồng 2 sao (old: 69) lydo: Nhập ngọc at 03/02/2023 7:45 PM
BAG:hanhhoang add 71xNgọc Rồng 2 sao (old: 70) lydo: Nhập ngọc at 03/02/2023 7:45 PM
BAG:hanhhoang add 1xNgọc Rồng 6 sao lydo: Nhập ngọc at 03/02/2023 7:45 PM
BAG:hanhhoang add 2xNgọc Rồng 6 sao (old: 1) lydo: Nhập ngọc at 03/02/2023 7:45 PM
BAG:hanhhoang add 3xNgọc Rồng 6 sao (old: 2) lydo: Nhập ngọc at 03/02/2023 7:45 PM
BAG:hanhhoang add 4xNgọc Rồng 6 sao (old: 3) lydo: Nhập ngọc at 03/02/2023 7:45 PM
BAG:hanhhoang add 5xNgọc Rồng 6 sao (old: 4) lydo: Nhập ngọc at 03/02/2023 7:45 PM
BAG:hanhhoang add 6xNgọc Rồng 6 sao (old: 5) lydo: Nhập ngọc at 03/02/2023 7:45 PM
BAG:hanhhoang add 7xNgọc Rồng 6 sao (old: 6) lydo: Nhập ngọc at 03/02/2023 7:45 PM
